instant	dteday	season	yr	mnth	holiday	weekday	workingday	weathersit	temp	atemp	hum	windspeed	casual	registered	cnt
505	20-05-2019	2	1	5	0	1	1	1	25.454153	29.19835	53.0417	17.042589	2704	4425	7129
506	21-05-2019	2	1	5	0	2	1	2	24.531653	28.28335	81.125	15.624668	630	3729	4359
507	22-05-2019	2	1	5	0	3	1	2	25.215	29.04125	76.5833	7.917189	819	5254	6073
508	23-05-2019	2	1	5	0	4	1	2	25.488347	29.2306	77.4583	6.834	766	4494	5260
509	24-05-2019	2	1	5	0	5	1	1	26.855	30.335	71.6667	11.584032	1059	5711	6770
510	25-05-2019	2	1	5	0	6	0	1	27.88	31.37645	74.7083	9.41685	1417	5317	6734
511	26-05-2019	2	1	5	0	0	0	1	28.3925	32.1348	73.25	13.332464	2855	3681	6536
512	27-05-2019	2	1	5	0	1	1	1	28.29	32.07125	69.7083	14.416457	3283	3308	6591
513	28-05-2019	2	1	5	1	2	0	1	29.2125	33.965	67.625	13.166907	2557	3486	6043
514	29-05-2019	2	1	5	0	3	1	1	29.6225	33.6496	68.4583	19.7918	880	4863	5743
515	30-05-2019	2	1	5	0	4	1	2	26.923347	30.55645	67	9.000043	745	6110	6855
516	31-05-2019	2	1	5	0	5	1	1	27.88	31.56645	49.2917	13.083693	1100	6238	7338
517	01-06-2019	2	1	6	0	6	0	2	26.820847	30.3981	75.5417	15.916721	533	3594	4127
518	02-06-2019	2	1	6	0	0	0	1	23.916653	28.3144	54.9167	12.499654	2795	5325	8120
519	03-06-2019	2	1	6	0	1	1	1	24.7025	28.75665	49.3333	12.333829	2494	5147	7641
520	04-06-2019	2	1	6	0	2	1	1	24.4975	28.91415	48.7083	19.083811	1071	5927	6998
521	05-06-2019	2	1	6	0	3	1	2	22.174153	26.2946	61.3333	14.041525	968	6033	7001
522	06-06-2019	2	1	6	0	4	1	1	22.720847	27.1146	61.125	5.167375	1027	6028	7055
523	07-06-2019	2	1	6	0	5	1	1	24.7025	28.4721	56.7083	10.54245	1038	6456	7494
524	08-06-2019	2	1	6	0	6	0	1	26.615847	29.8931	46.7917	11.750661	1488	6248	7736
525	09-06-2019	2	1	6	0	0	0	1	29.144153	32.41835	43.7083	9.667229	2708	4790	7498
526	10-06-2019	2	1	6	0	1	1	1	29.793347	33.17585	53.8333	8.959307	2224	4374	6598
527	11-06-2019	2	1	6	0	2	1	2	29.554153	32.98605	58.7917	13.916771	1017	5647	6664
528	12-06-2019	2	1	6	0	3	1	2	26.786653	29.89375	83.3333	14.374582	477	4495	4972
529	13-06-2019	2	1	6	0	4	1	1	26.889153	30.55585	58.2083	22.999693	1173	6248	7421
530	14-06-2019	2	1	6	0	5	1	1	26.581653	31.21915	56.9583	17.000111	1180	6183	7363
531	15-06-2019	2	1	6	0	6	0	1	26.205847	29.9877	58.9583	11.833339	1563	6102	7665
532	16-06-2019	2	1	6	0	0	0	1	25.898347	29.7354	50.4167	11.166689	2963	4739	7702
533	17-06-2019	2	1	6	0	1	1	1	24.2925	28.59875	59.875	9.708568	2634	4344	6978
534	18-06-2019	2	1	6	0	2	1	2	23.301653	27.2421	77.7917	11.707982	653	4446	5099
535	19-06-2019	2	1	6	0	3	1	1	28.221653	32.7346	69	9.917139	968	5857	6825
536	20-06-2019	2	1	6	0	4	1	1	32.0825	36.04875	59.2083	7.625404	872	5339	6211
537	21-06-2019	3	1	6	0	5	1	1	33.039153	37.6271	56.7917	7.958729	778	5127	5905
538	22-06-2019	3	1	6	0	6	0	1	31.8775	36.20605	57.375	12.250414	964	4859	5823
539	23-06-2019	3	1	6	0	0	0	1	29.998347	32.6396	53.4583	12.041307	2657	4801	7458
540	24-06-2019	3	1	6	0	1	1	1	30.476653	33.7127	47.9167	9.750175	2551	4340	6891
541	25-06-2019	3	1	6	0	2	1	1	29.349153	32.7021	50.4167	20.125661	1139	5640	6779
542	26-06-2019	3	1	6	0	3	1	1	25.864153	29.7352	37.3333	23.292014	1077	6365	7442
543	27-06-2019	3	1	6	0	4	1	1	28.5975	32.0396	36	18.208925	1077	6258	7335
544	28-06-2019	3	1	6	0	5	1	1	30.715847	33.7756	42.25	11.50055	921	5958	6879
545	29-06-2019	3	1	6	0	6	0	1	34.200847	39.33065	48.875	11.082939	829	4634	5463
546	30-06-2019	3	1	6	0	0	0	1	31.365	34.3754	60.125	10.791757	1455	4232	5687
547	01-07-2019	3	1	7	0	1	1	1	33.449153	37.53145	51.875	11.291443	1421	4110	5531
548	02-07-2019	3	1	7	0	2	1	1	32.048347	35.1019	44.7083	13.082889	904	5323	6227
549	03-07-2019	3	1	7	0	3	1	1	32.014153	35.1325	49.2083	8.457879	1052	5608	6660
550	04-07-2019	3	1	7	1	4	0	1	32.355847	36.61685	53.875	9.04165	2562	4841	7403
551	05-07-2019	3	1	7	0	5	1	1	33.9275	38.06835	45.7917	12.999943	1405	4836	6241
552	06-07-2019	3	1	7	0	6	0	1	33.961653	37.62665	45.0833	9.791514	1366	4841	6207
553	07-07-2019	3	1	7	0	0	0	1	35.328347	40.24565	49.2083	10.958118	1448	3392	4840
554	08-07-2019	3	1	7	0	1	1	1	33.7225	39.5198	57.375	8.417143	1203	3469	4672
555	09-07-2019	3	1	7	0	2	1	2	29.144153	32.7027	68.3333	12.125325	998	5571	6569
556	10-07-2019	3	1	7	0	3	1	2	29.554153	33.2398	66.75	10.166379	954	5336	6290
557	11-07-2019	3	1	7	0	4	1	1	29.383347	32.51355	63.3333	10.166111	975	6289	7264
558	12-07-2019	3	1	7	0	5	1	1	29.349153	32.73415	52.9583	9.833925	1032	6414	7446
559	13-07-2019	3	1	7	0	6	0	2	29.998347	33.39665	48.5833	5.41695	1511	5988	7499
560	14-07-2019	3	1	7	0	0	0	2	28.836653	33.3021	69.9167	9.626493	2355	4614	6969
561	15-07-2019	3	1	7	0	1	1	1	30.579153	35.2598	71.7917	11.166689	1920	4111	6031
562	16-07-2019	3	1	7	0	2	1	1	31.296653	36.20625	64.5	11.000529	1088	5742	6830
563	17-07-2019	3	1	7	0	3	1	1	33.551653	37.78415	50.5833	7.666743	921	5865	6786
564	18-07-2019	3	1	7	0	4	1	1	32.526653	37.27915	57.7083	9.208614	799	4914	5713
565	19-07-2019	3	1	7	0	5	1	1	31.57	35.7321	60.0417	11.083743	888	5703	6591
566	20-07-2019	3	1	7	0	6	0	2	27.299153	30.65125	84.4167	14.000789	747	5123	5870
567	21-07-2019	3	1	7	0	0	0	3	24.429153	27.4956	86.5417	14.2911	1264	3195	4459
568	22-07-2019	3	1	7	0	1	1	2	27.3675	31.15625	76.25	6.2926936	2544	4866	7410
569	23-07-2019	3	1	7	0	2	1	1	30.408347	34.50085	69.4167	9.291761	1135	5831	6966
570	24-07-2019	3	1	7	0	3	1	1	30.784153	35.3225	65.5	14.167418	1140	6452	7592
571	25-07-2019	3	1	7	0	4	1	1	29.690847	32.7027	45	11.0416	1383	6790	8173
572	26-07-2019	3	1	7	0	5	1	1	31.843347	36.96315	59.6667	19.082471	1036	5825	6861
573	27-07-2019	3	1	7	0	6	0	1	32.048347	36.71085	59.4583	10.250464	1259	5645	6904
574	28-07-2019	3	1	7	0	0	0	1	30.989153	34.8802	61.3333	10.54245	2234	4451	6685
575	29-07-2019	3	1	7	0	1	1	1	29.588347	33.39665	62.375	11.416532	2153	4444	6597
576	30-07-2019	3	1	7	0	2	1	1	29.964153	34.24935	66.875	10.292339	1040	6065	7105
577	31-07-2019	3	1	7	0	3	1	1	29.246653	33.1448	70.4167	11.083475	968	6248	7216
578	01-08-2019	3	1	8	0	4	1	1	29.4175	33.3654	67.75	9.458993	1074	6506	7580
579	02-08-2019	3	1	8	0	5	1	1	30.8525	35.3544	65.9583	8.666718	983	6278	7261
